date,release_no,title,entity_name,entity_type,entity_role,ticker,cik,tags,settled,ticker_resolved,resolution_method
2015-10-05,2015-230,SEC Charges Home Loan Servicing Solutions for Misstatements and Inadequate Internal Controls,Home Loan Servicing Solutions Ltd.,company,defendant,HLSSF,1513161,"disclosure fraud, inadequate internal controls",True,HLSSF,original
2015-10-06,2015-234,SEC Charges Former Executives With Accounting Fraud and Other Accounting Failures,OCZ Technology Group Inc.,company,defendant,OCZTQ,1355128,"accounting fraud, disclosure fraud, internal controls failure",True,OCZTQ,original
2015-10-13,2015-238,UBS to Pay $19.5 Million Settlement Involving Notes Linked to Currency Index,UBS AG,company,defendant,AMUB,1114446,"disclosure fraud, structured notes",True,AMUB,original
2015-10-27,2015-247,"Developer, Former Top Execs Charged for Improper Accounting of Real Estate Assets During Financial Crisis",The St. Joe Company,company,defendant,JOE,745308,"improper accounting, financial crisis, disclosure fraud",True,JOE,original
2015-12-22,2015-287,Morgan Stanley Settles Charges in “Parking” Scheme,SG Americas,company,defendant,OSP,1409134,"parking scheme, prearranged trading, disclosure fraud",True,OSP,original
2016-01-13,2016-7,SEC Charges 11 Bank Officers and Directors With Fraud,Superior Bank,company,defendant,SUPR,1065298,"fraud, financial crisis, loan losses, accounting fraud",True,SUPR,original
2016-01-14,2016-9,SEC Charges Goldman Sachs With Improper Securities Lending Practices,Goldman Sachs,company,defendant,GSBD,1572694,"improper securities lending, Regulation SHO, short selling",True,GSBD,original
2016-02-01,2016-17,SEC Charges Software Company With FCPA Violations,SAP SE,company,defendant,SAP,1000184,"FCPA violations, bribery, internal controls failure",True,SAP,original
2016-02-09,2016-25,Monsanto Paying $80 Million Penalty for Accounting Violations,Monsanto Company,company,defendant,MON2,1110783,"accounting violations, disclosure fraud",True,MON2,original
2016-02-16,2016-29,SEC: Tech Company Bribed Chinese Officials,PTC Inc.,company,defendant,PTC,857005,"bribery, Foreign Corrupt Practices Act, disclosure fraud",True,PTC,original
2016-02-17,2016-32,SEC Charges Biopesticide Company and Former Executive With Accounting Fraud,Marrone Bio Innovations,company,defendant,MBII,1441693,"accounting fraud, financial misreporting",True,MBII,original
2016-03-29,2016-59,SEC: Biotech Company Misled Investors About New Drug's Status With FDA,AVEO Pharmaceuticals Inc.,company,defendant,AVEO,1325879,"disclosure fraud, biotech, FDA approval",True,AVEO,original
2016-03-29,2016-60,Former TV Commentator Settles Penny Stock Fraud Charges,NBT Group Inc.,company,defendant,BTTGY,756620,"penny stock fraud, disclosure fraud",True,BTTGY,original
2016-03-31,2016-62,SEC: Navistar International and Former CEO Misled Investors About Advanced Technology Engine,Navistar International Corp.,company,defendant,NAV,808450,"disclosure fraud, misleading investors",True,NAV,original
2016-04-07,2016-64,Las Vegas Sands Paying Penalty for FCPA Violations,Las Vegas Sands Corp.,company,defendant,LVS,1300514,"FCPA violations, financial controls, books and records",True,LVS,original
2016-04-19,2016-74,SEC Announces Financial Fraud Cases,Ener1,company,defendant,HEVVQ,895642,"financial fraud, accounting violations",True,HEVVQ,original
2016-04-19,2016-74,SEC Announces Financial Fraud Cases,Logitech International,company,defendant,LOGI,1032975,"financial fraud, accounting violations",True,LOGI,original
2016-05-31,2016-99,SEC Halts Ponzi Scheme Aimed at Middle Class,JSG Capital Investments,company,defendant,MGTI,1001601,"ponzi scheme, fraud, investment fraud",False,MGTI,original
2016-06-08,2016-110,SEC Bars Corporate VP and Controller for False Accounting,IEC Electronics Corp.,company,defendant,IEC,49728,"false accounting, financial fraud",True,IEC,original
2016-06-21,2016-126,SEC Charges Medical Device Manufacturer With FCPA Violations,Analogic Corp.,company,defendant,ALOG,6284,"FCPA violations, disclosure fraud",True,ALOG,original
2016-06-23,2016-129,Merrill Lynch Paying $10 Million Penalty for Misleading Investors in Structured Notes,Merrill Lynch,company,defendant,MER,65100,disclosure fraud,True,MER,original
2016-06-23,2016-128,Merrill Lynch to Pay $415 Million for Misusing Customer Cash and Putting Customer Securities at Risk,Merrill Lynch,company,defendant,MER,65100,"disclosure fraud, customer protection, securities violation",True,MER,original
2016-08-16,2016-164,Company Punished for Severance Agreements That Removed Financial Incentives for Whistleblowing,Health Net Inc.,company,defendant,HNT,916085,"whistleblower program, securities law violation",True,HNT,original
2016-08-23,2016-165,Apollo Charged With Disclosure and Supervisory Failures,Apollo Global Management,company,defendant,APO,1858681,"disclosure fraud, supervisory failures",True,APO,original
2016-09-26,2016-192,Merrill Lynch Charged With Trading Controls Failures That Led to Mini-Flash Crashes,Merrill Lynch,company,defendant,MER,65100,"trading controls failure, market access rule violation, mini-flash crashes",True,MER,original
2016-09-27,2016-194,Oil Services Company Paying $140 Million Penalty for Accounting Fraud,Weatherford International,company,defendant,WFRD,1603923,"accounting fraud, disclosure fraud",True,WFRD,original
2016-09-28,2016-196,SEC Charges Anheuser-Busch InBev With Violating FCPA and Whistleblower Protection Laws,Anheuser-Busch InBev,company,defendant,BUD,1668717,"FCPA, whistleblower protection, improper payments",True,BUD,original
2016-10-17,2016-218,SEC Charges Energy Services Company and Executives With Accounting Fraud,Lime Energy Co.,company,defendant,LIME,1065860,accounting fraud,True,LIME,original
2016-10-20,2016-221,Company and Former Executives Paying Penalties for Accounting Violations,FMC Technologies,company,defendant,FTI1,1135152,"accounting violations, financial reporting fraud",True,FTI1,original
2016-10-24,2016-224,Embraer Paying $205 Million to Settle FCPA Charges,Embraer S.A.,company,defendant,ERJ,1355444,"FCPA violation, bribery, disclosure fraud",True,ERJ,original
2016-11-17,2016-241,JPMorgan Chase Paying $264 Million to Settle FCPA Charges,JPMorgan Chase & Co.,company,defendant,JPM,19617,"FCPA violation, bribery, corruption",True,JPM,original
2016-12-02,2016-253,United Settles Charges in Case of Flight Route to Benefit Public Official,United Airlines,company,defendant,CAL1,319687,"disclosure fraud, bribery",True,CAL1,original
2016-12-16,2016-265,SEC Charges Gatekeepers in Microcap Frauds,American Energy Development Corp.,company,defendant,AEDC,1499735,"microcap fraud, penny stock, disclosure fraud",True,AEDC,original
2016-12-20,2016-269,SEC Charges Morgan Stanley With Customer Protection Rule Violations,Morgan Stanley & Co. LLC,company,defendant,MS,895421,customer protection rule violation,True,MS,original
2016-12-20,2016-270,Company Settles Charges in Whistleblower Retaliation Case,SandRidge Energy Inc.,company,defendant,SD,1349436,"whistleblower retaliation, illegal separation agreements",True,SD,original
2016-12-21,2016-271,Petrochemical Manufacturer Braskem S.A. to Pay $957 Million to Settle FCPA Charges,Braskem S.A.,company,defendant,BAK,1071438,"FCPA violation, bribery, false records",True,BAK,original
2016-12-22,2016-277,Teva Pharmaceutical Paying $519 Million to Settle FCPA Charges,Teva Pharmaceutical Industries Limited,company,defendant,TEVA,818686,"FCPA violation, bribery, pharmaceutical",True,TEVA,original
2017-01-11,2017-5,SEC Charges Government Contractor With Inadequate Controls and Books and Records Violations,L3 Technologies Inc.,company,defendant,LLL1,1039101,"inadequate controls, books and records violations",True,LLL1,original
2017-01-12,2017-8,Biomet Charged With Repeating FCPA Violations,Biomet,company,defendant,BMET,351346,"FCPA violations, bribery, compliance failure",True,BMET,original
2017-01-13,2017-13,Chemical and Mining Company in Chile Paying $30 Million to Resolve FCPA Cases,Sociedad Quimica y Minera de Chile S.A.,company,defendant,SQMCY,865477,"FCPA violation, foreign corruption",True,SQMCY,original
2017-01-17,2017-16,Allergan Paying $15 Million Penalty for Disclosure Failures During Merger Talks,Allergan Inc.,company,defendant,AGN,1578845,"disclosure failures, merger talks",True,AGN,original
2017-01-18,2017-19,General Motors Charged With Accounting Control Failures,General Motors,company,defendant,MTLQQ,40730,"accounting control failures, disclosure issues",True,MTLQQ,original
2017-01-23,2017-29,Shipping Conglomerate and Former CFO Charged With Failure to Recognize Hundreds of Millions in Tax Liabilities,Overseas Shipholding Group,company,defendant,OSG,75208,"disclosure fraud, financial reporting, tax liabilities",True,OSG,original
2017-02-14,2017-48,SEC Announces Cases Related to Disclosures During Battles for Corporate Control,CVR Energy,company,defendant,CVI,1376139,"disclosure violations, corporate control, securities law",True,CVI,original
2017-04-10,2017-79,SEC: Payments for Bullish Articles on Stocks Must Be Disclosed to Investors,three public companies,company,defendant,RUTX,1320092,"disclosure fraud, stock promotion, fraud",True,RUTX,original
2017-05-01,2017-88,Semiconductor Company and Former CFO Settle Accounting Fraud Charges,MagnaChip Semiconductor Corp.,company,defendant,MX,1325702,"accounting fraud, disclosure fraud",True,MX,original
2017-06-28,2017-120,SEC Charges Oil and Gas Company and Top Finance Executives with Accounting Fraud,Obsidian Energy Ltd.,company,defendant,OBE,1334388,"accounting fraud, disclosure fraud",True,OBE,original
2017-07-27,2017-133,Halliburton Paying $29.2 Million to Settle FCPA Violations,Halliburton Company,company,defendant,HAL,45012,"FCPA violations, books and records, internal accounting controls",True,HAL,original
2017-09-07,2017-159,State Street Paying Penalties to Settle Fraud Charges and Disclosure Failures,State Street,company,defendant,STT,93751,"fraud, disclosure failures",True,STT,original
2017-09-22,2017-175,Pharmaceutical Company Paying Penalty for Misleading Investors About Sales Metric,Aegerion Pharmaceuticals,company,defendant,AEGR,1338042,disclosure fraud,True,AEGR,original
2017-09-28,2017-178,Medical Manufacturer Settles Accounting Fraud Charges,Alere Inc.,company,defendant,ALR1,1145460,"accounting fraud, improper payments, disclosure fraud",True,ALR1,original
2017-10-03,2017-188,SEC Charges Penny-Stock Operators in Push to Crack Down on Repeat Offenders,N1 Technologies Inc.,company,defendant,BKTI,2186,"disclosure fraud, penny stock fraud, recidivist",False,BKTI,original
2017-10-17,2017-196,"Rio Tinto, Former Top Executives Charged With Fraud",Rio Tinto,company,defendant,RIO,887028,"fraud, disclosure fraud",False,RIO,original
2017-11-02,2017-207,"SEC Charges Biotech Company, Executives With Accounting Fraud",Osiris Therapeutics,company,defendant,OSIR,1360886,"accounting fraud, disclosure fraud",True,OSIR,original
2018-02-28,2018-26,SEC Charges Ameriprise With Overcharging Retirement Account Customers for Mutual Fund Shares,Ameriprise Financial Services Inc.,company,defendant,EFSC,1025835,"overcharging, mutual fund, retirement accounts, disclosure fraud",True,EFSC,original
2018-03-02,2018-28,"SEC Charges U.K. Brokerage Firm, Investment Manager, CEO, and Others for Manipulative Trading in U.S. Microcap Stocks",WT Consulting Group LLC,company,defendant,DACGQ,1051209,"manipulative trading, securities fraud, microcap stocks, pump-and-dump",False,DACGQ,original
2018-03-02,2018-28,"SEC Charges U.K. Brokerage Firm, Investment Manager, CEO, and Others for Manipulative Trading in U.S. Microcap Stocks",TJM Investments Inc.,company,defendant,CTCLY,1477324,"manipulative trading, securities fraud, microcap stocks, pump-and-dump",False,CTCLY,original
2018-03-08,2018-35,Voya Advisers Agree to Repay Clients and Settle Charges That They Failed to Disclose Securities Lending Conflict,Voya Holdings Inc.,company,defendant,PAYA,1819881,"disclosure fraud, conflict of interest",True,PAYA,original
2018-03-27,2018-48,"SEC Charges Energy Storage Company, Former Executive in Fraudulent Scheme to Inflate Financial Results","Maxwell Technologies, Inc.",company,defendant,MXWL,319815,"fraudulent revenue recognition, financial fraud",True,MXWL,original
2018-04-06,2018-61,SEC Obtains Emergency Freeze of $27 Million in Stock Sales of Purported Cryptocurrency Company Longfin,Longfin Corp.,company,defendant,LFIN,1699683,"disclosure fraud, cryptocurrency",False,LFIN,original
2018-04-24,2018-71,"Altaba, Formerly Known as Yahoo!, Charged With Failing to Disclose Massive Cybersecurity Breach; Agrees To Pay $35 Million",Yahoo!,company,defendant,YHOO,1011006,"cybersecurity breach, disclosure fraud",True,YHOO,original
2018-04-24,2018-71,"Altaba, Formerly Known as Yahoo!, Charged With Failing to Disclose Massive Cybersecurity Breach; Agrees To Pay $35 Million",Altaba,company,defendant,AABA,1011006,"cybersecurity breach, disclosure fraud",True,AABA,original
2018-04-30,2018-73,Panasonic Charged With FCPA and Accounting Fraud Violations,Panasonic Corp.,company,defendant,PCRFY,63271,"FCPA violation, accounting fraud",True,PCRFY,original
2018-06-01,2018-100,SEC Charges 13 Private Fund Advisers for Repeated Filing Failures,Bristol Group Inc.,company,defendant,BRSWQ,73887,"reporting failures, investment advisers, compliance",True,BRSWQ,original
2018-07-02,2018-127,SEC Charges KBR for Inflating Key Performance Metric and Accounting Controls Deficiencies,KBR Inc.,company,defendant,KBR,1357615,"disclosure fraud, accounting controls deficiencies",True,KBR,original
2018-07-05,2018-128,SEC Charges Credit Suisse With FCPA Violations,Credit Suisse Group AG,company,defendant,CS,1159510,"FCPA violations, bribery, corruption",True,CS,original
2018-07-17,2018-134,SEC Charges BGC Financial for Failure to Preserve Documents and Maintain Accurate Books and Records,BGC Financial,company,defendant,CFFI,913341,"disclosure fraud, books and records violations",True,CFFI,original
2018-08-15,2018-154,SEC Charges Ameriprise Financial Services for Failing to Safeguard Client Assets,Ameriprise Financial Services Inc.,company,defendant,EFSC,1025835,"safeguard failure, misappropriation, fraud",True,EFSC,original
2018-08-16,2018-155,Citigroup to Pay More Than $10 Million for Books and Records Violations and Inadequate Controls,Citigroup,company,defendant,C,831001,"books and records violations, inadequate controls, trader supervision",True,C,original
2018-08-21,2018-161,SEC Charges Former Online Marketing Company Executives With Inflating Operating Metrics,Constant Contact Inc.,company,defendant,CTCT,1405277,"disclosure fraud, reporting violations, antifraud",True,CTCT,original
2018-08-21,2018-161,SEC Charges Former Online Marketing Company Executives With Inflating Operating Metrics,Endurance International Group Holdings Inc.,company,defendant,EIGI,1237746,"disclosure fraud, reporting violations, antifraud",True,EIGI,original
2018-08-27,2018-168,Legg Mason Charged With Violating the FCPA,Legg Mason Inc.,company,defendant,LM,704051,"FCPA violation, bribery, corruption",True,LM,original
2018-08-27,2018-167,Transamerica Entities to Pay $97 Million to Investors Relating to Errors in Quantitative Investment Models,Transamerica Capital Inc.,company,defendant,CATA1,17385,"disclosure fraud, investment misconduct",True,CATA1,original
2018-09-04,2018-175,SEC Charges Telecommunications Expense Management Company With Accounting Fraud,Tangoe Inc.,company,defendant,TNGO,1182325,"accounting fraud, disclosure fraud",True,TNGO,original
2018-09-04,2018-174,Sanofi Charged With FCPA Violations,Sanofi,company,defendant,SNY,1121404,"FCPA violations, bribery, pharmaceutical industry",True,SNY,original
2018-09-07,2018-182,SEC Charges Microcap Fraudsters for Roles in Lucrative Market Manipulation Schemes,OPKO Health Inc.,company,defendant,OPK,944809,"market manipulation, fraud, pump-and-dump",False,OPK,original
2018-09-07,2018-182,SEC Charges Microcap Fraudsters for Roles in Lucrative Market Manipulation Schemes,Grander Holdings Inc.,company,defendant,SOND,1819395,"market manipulation, fraud, pump-and-dump",False,SOND,original
2018-09-18,2018-199,"Biopharmaceutical Company, Executives Charged With Misleading Investors About Cancer Drug",Clovis Oncology Inc.,company,defendant,CLVSQ,1466301,"disclosure fraud, biopharmaceutical, securities violation",True,CLVSQ,original
2018-09-20,2018-205,Business Services Company and Former CFO Charged With Accounting Fraud,Barrett Business Services Inc.,company,defendant,BBSI,902791,"accounting fraud, disclosure fraud",True,BBSI,original
2018-09-21,2018-207,Public Companies Charged With Failing to Comply With Quarterly Reporting Obligations,Cool Technologies Inc.,company,defendant,EPTG,945269,"disclosure fraud, reporting obligations",True,EPTG,original
2018-09-27,2018-218,SEC Charges Bitcoin-Funded Securities Dealer and CEO,1pool Ltd.,company,defendant,POOL,945841,"securities fraud, crypto, unregistered dealer",False,POOL,original
2018-09-28,2018-221,SEC Charges Salix Pharmaceuticals and Former CFO With Lying About Distribution Channel,Salix Pharmaceuticals Ltd.,company,defendant,SLXP,1009356,"disclosure fraud, corporate reporting violations",True,SLXP,original
2018-09-28,2018-222,SEC Charges Stryker A Second Time for FCPA Violations,Stryker Corp.,company,defendant,SYK,310764,"FCPA violations, internal accounting controls, books and records",True,SYK,original
2018-09-28,2018-220,SEC Charges Walgreens and Two Former Executives With Misleading Investors About Forecasted Earnings Goal,Walgreens Boots Alliance Inc.,company,defendant,WBA,1618921,disclosure fraud,True,WBA,original
2018-09-29,2018-226,Elon Musk Settles SEC Fraud Charges; Tesla Charged With and Resolves Securities Law Charge,Tesla Inc.,company,defendant,TSLA,1318605,"securities fraud, disclosure controls",True,TSLA,original
2018-12-11,2018-277,SEC Charges The Hain Celestial Group with Internal Controls Failures,"The Hain Celestial Group, Inc.",company,defendant,HAIN,910406,"internal controls failures, financial reporting, books and records violations, accounting controls violations",True,HAIN,original
2019-01-29,2019-6,SEC Charges Four Public Companies With Longstanding ICFR Failures,Grupo Simec S.A.B de C.V.,company,defendant,SIM,887153,"ICFR failures, financial reporting, civil penalties",True,SIM,original
2019-01-29,2019-6,SEC Charges Four Public Companies With Longstanding ICFR Failures,Digital Turbine Inc.,company,defendant,APPS,317788,"ICFR failures, financial reporting, civil penalties",True,APPS,original
2019-01-29,2019-6,SEC Charges Four Public Companies With Longstanding ICFR Failures,Lifeway Foods Inc.,company,defendant,LWAY,814586,"ICFR failures, financial reporting, civil penalties",True,LWAY,original
2019-02-15,2019-12,SEC Charges Cognizant and Two Former Executives With FCPA Violations,Cognizant Technology Solutions Corporation,company,defendant,CTSH,1058290,"FCPA violations, bribery, corporate misconduct",True,CTSH,original
2019-02-15,2019-13,SEC Files Charges in Elaborate Microcap Stock Fraud,Magna Group,company,defendant,MGR1,36094,"microcap fraud, unlawful securities offerings",False,MGR1,original
2019-03-29,2019-48,SEC Charges Medical Device Company With FCPA Violations,Fresenius Medical Care AG & Co KGaA,company,defendant,FMS,1333141,"FCPA violations, bribery, compliance failure",True,FMS,original
2019-04-25,2019-60,SEC Charges Truckload Freight Company With Accounting Fraud,Celadon Group Inc.,company,defendant,CGIP,865941,"accounting fraud, disclosure fraud",True,CGIP,original
2019-05-03,2019-66,SEC Charges Sapphire Glass Manufacturer and Former CEO With Fraud,GT Advanced Technologies Inc.,company,defendant,GTATQ,1394954,"disclosure fraud, misleading investors",True,GTATQ,original
2019-06-04,2019-87,SEC Charges Issuer With Conducting $100 Million Unregistered ICO,Kik Interactive Inc.,company,defendant,USITQ,1086637,"unregistered ICO, securities offering, digital tokens",False,USITQ,original
2019-06-05,2019-90,"SEC Adds Fraud Charges Against Purported Cryptocurrency Company Longfin, CEO, and Consultant",Longfin Corp.,company,defendant,LFIN,1699683,"fraud, cryptocurrency, accounting fraud, unregistered securities",True,LFIN,original
2019-06-20,2019-103,SEC Charges Intelligence Communications Company and Top Executives With Defrauding Merger Investors,Ability Inc.,company,defendant,ABILF,1652866,"disclosure fraud, merger fraud",False,ABILF,original
2019-06-20,2019-102,Walmart Charged With FCPA Violations,Walmart,company,defendant,WMT,104169,"FCPA violations, compliance failure, international corruption",True,WMT,original
2019-07-19,2019-137,SEC Charges Engine Manufacturing Company Executives With Accounting Fraud,Power Solutions International Inc.,company,defendant,PSIX,1137091,"accounting fraud, disclosure fraud",False,PSIX,original
2019-08-01,2019-143,SEC Charges Brixmor Property Group Inc. and Former Senior Executives with Accounting Fraud,Brixmor Property Group Inc.,company,defendant,BRX,1581068,"accounting fraud, disclosure fraud",True,BRX,original
2019-08-20,2019-156,SEC Charges TherapeuticsMD With Regulation FD Violations,TherapeuticsMD Inc.,company,defendant,TXMD,25743,"Regulation FD, disclosure violations",True,TXMD,original
2019-09-16,2019-175,SEC Charges Silicon Valley-Based Issuer With Misleading Disclosure Violations,"Marvell Technology Group, Ltd.",company,defendant,MRVL,1835632,disclosure fraud,True,MRVL,original
2019-09-24,2019-186,SEC Charges Comscore Inc. and Former CEO with Accounting and Disclosure Fraud,Comscore Inc.,company,defendant,SCOR,1158172,"accounting fraud, disclosure fraud",True,SCOR,original
2019-09-26,2019-193,SEC Charges Marketing and Printing Services Provider with FCPA Violations,Quad/Graphics Peru S.A.,company,defendant,QUAD,1481792,"FCPA violations, bribery, internal controls, books and records",True,QUAD,original
2019-09-26,2019-193,SEC Charges Marketing and Printing Services Provider with FCPA Violations,Quad/Graphics Inc.,company,defendant,QUAD,1481792,"FCPA violations, bribery, internal controls, books and records",True,QUAD,original
2019-09-27,2019-197,SEC Charges Canadian Clean Fuel Technology Company and Former CEO with FCPA Violations,"Westport Fuels Systems, Inc.",company,defendant,WPRT,1370416,"FCPA violations, bribery, disclosure fraud",True,WPRT,original
2019-09-30,2019-200,SEC Orders an Additional 16 Self-Reporting Advisory Firms to Pay Nearly $10 Million to Investors,Equity Services Inc.,company,defendant,LQDT,1235468,"disclosure failures, investment advisers, mutual fund share class selection",True,LQDT,original
2019-09-30,2019-200,SEC Orders an Additional 16 Self-Reporting Advisory Firms to Pay Nearly $10 Million to Investors,Independent Financial Group LLC,company,defendant,FIFG,946738,"disclosure failures, investment advisers, mutual fund share class selection",True,FIFG,original
2019-10-11,2019-212,SEC Halts Alleged $1.7 Billion Unregistered Digital Token Offering,Telegram Group Inc.,company,defendant,TGRPQ,1037535,"unregistered securities, digital token offering, cryptocurrency",False,TGRPQ,original
2019-11-26,2019-243,SEC Charges Biotech Company and Executives With Accounting Fraud,MiMedx Group Inc.,company,defendant,MDXG,1376339,"accounting fraud, misstating revenue, cover-up",True,MDXG,original
2019-12-05,2019-253,SEC Charges Trucking Executives With Accounting Fraud,Celadon Group Inc.,company,defendant,CGIP,865941,"accounting fraud, financial statement fraud",False,CGIP,original
2019-12-05,2019-251,SEC Charges Iconix Brand Group and Former Top Executives With Accounting Fraud,Iconix Brand Group Inc.,company,defendant,ICON1,857737,"accounting fraud, securities fraud",True,ICON1,original
2019-12-18,2019-269,MetLife to Pay $10 Million for Longstanding Internal Control Failures,"MetLife, Inc.",company,defendant,MET,1099219,"internal control failures, books and records violations",True,MET,original
2020-01-03,2020-2,Longfin CEO Settles Fraud Action,Longfin Corp.,company,defendant,LFIN,1699683,"fraud, disclosure fraud, securities fraud",True,LFIN,original
2020-01-17,2020-12,SEC Charges Convicted Criminal Who Conducted Fraudulent ICO Using a Fake Identity,CG Blockchain Inc.,company,defendant,LBCC,1629261,"fraudulent ICO, disclosure fraud",False,LBCC,original
2020-02-19,2020-36,SEC Charges Global Alcohol Producer with Disclosure Failures,Diageo plc,company,defendant,DEO,835403,disclosure fraud,True,DEO,original
2020-02-21,2020-38,Wells Fargo to Pay $500 Million for Misleading Investors About the Success of Its Largest Business Unit,Wells Fargo & Co.,company,defendant,WFC,72971,disclosure fraud,True,WFC,original
2020-02-27,2020-44,"SEC Charges South Carolina Energy Companies, Former Executives With Defrauding Investors",SCANA Corp.,company,defendant,SCG,754737,disclosure fraud,False,SCG,original
2020-02-28,2020-48,SEC Charges Cardinal Health With FCPA Violations,"Cardinal Health, Inc.",company,defendant,CAH,721371,"FCPA violations, books and records, internal accounting controls",True,CAH,original
2020-06-04,2020-127,Insurance Company Settles SEC Charges for Failing to Disclose Executive Perks,"Argo Group International Holdings, Ltd.",company,defendant,ARGO,1091748,disclosure fraud,True,ARGO,original
2020-06-17,2020-135,Insurance Company and Former CFO Charged With Faulty Loss Reserves Disclosures,AmTrust Financial Services Inc.,company,defendant,AFSI,1365555,disclosure fraud,True,AFSI,original
